"Pos.","N°","Nombre","Puntos","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas"
"1","98","Mateo CASTELLANOS CARVAJAL","15","","54.265","Yamaha","Caldas","CLUB JHC RACING","10"
"2","41","Nicolas DUQUE PATIÑO","13","4.400","54.691","Yamaha","Meta","VILLAVICENCIO RACING CLUB","10"
"3","227","Rigo German SALAZAR CERON","11","6.094","54.939","Yamaha","Quindío","CLUB MONSTER GARAGE","10"
"4","88","Gerardo camilo TORRES","10","6.537","54.950","Yamaha","Valle del Cauca","Dos Ruedas Racing Team","10"
"5","207","David Alejandro FORERO ZAPATA","9","11.503","54.147","Yamaha","Putumayo","TEAM RACING MOCOA","10"
"6","312","Eder Sebastian JARAMILLO YARA","8","21.512","56.287","Yamaha","Tolima","CLUB PISTON RACING","10"
"7","255","Juan Sebastian WONG RODRÍGUEZ","7","32.014","56.026","Yamaha","Quindío","CLUB MONSTER GARAGE","10"
"8","424","Juan Manuel FORERO BANDERA","6","1 Vuelta","57.167","Yamaha","Tolima","CLUB PISTON RACING","9"
"NT","745-E","Jeronimo HENAO MARIN","0","NT","55.661","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","7"
"NT","324-E","Jeisson David Lamilla","0","NT","56.001","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","7"
"NT","166","Johan Camilo GIRALDO RAMIREZ","0","NT","55.946","Yamaha","Quindío","CLUB MONSTER GARAGE","6"
"NT","710","Alexander DIAZ CASTAÑO","0","NT","56.777","Yamaha","Cundinamarca","CLUB GIRARDOT RACING","3"
"NT","155","Juan Felipe HERNANDEZ ALZATE","0","NT","","Yamaha","Meta","CLUB LLANEROS RANCING",""
"NT","813","Juan Felipe SIERRA OSORIO","0","NT","","Husqvarna","Cundinamarca","CLUB GIRARDOT RACING",""
"NT","127","Juan Pablo MOSCOSO VARON","0","NT","","Yamaha","Tolima","TROCHEROS EN 2 RUEDAS",""
"NT","315","Sara Liseth VARON URRUTIA","0","NT","","Yamaha","Tolima","Club Tolima",""
