"Pos.","N°","Nombre","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior"
"1","98","Mateo CASTELLANOS CARVAJAL","53.716","3","",""
"2","207","David Alejandro FORERO ZAPATA","54.328","5","0.612","0.612"
"3","227","Rigo German SALAZAR CERON","55.166","6","1.450","0.838"
"4","41","Nicolas DUQUE PATIÑO","55.446","7","1.730","0.280"
"5","166","Johan Camilo GIRALDO RAMIREZ","55.666","2","1.950","0.220"
"6","255","Juan Sebastian WONG RODRÍGUEZ","55.676","3","1.960","0.010"
"7","745-E","Jeronimo HENAO MARIN","55.709","5","1.993","0.033"
"8","324-E","Jeisson David Lamilla","55.948","2","2.232","0.239"
"9","88","Gerardo camilo TORRES","56.088","4","2.372","0.140"
"10","710","Alexander DIAZ CASTAÑO","56.627","6","2.911","0.539"
"11","127","Juan Pablo MOSCOSO VARON","56.679","2","2.963","0.052"
"12","312","Eder Sebastian JARAMILLO YARA","56.696","2","2.980","0.017"
"13","424","Juan Manuel FORERO BANDERA","57.028","2","3.312","0.332"
"14","813","Juan Felipe SIERRA OSORIO","57.169","4","3.453","0.141"
"15","155","Juan Felipe HERNANDEZ ALZATE","1:01.129","2","7.413","3.960"
"16","315","Sara Liseth VARON URRUTIA","","0","",""
