"Pos.","N°","Nombre","Puntos","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas"
"1","745-E","Jeronimo HENAO MARIN","15","","55.862","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","10"
"2","312","Eder Sebastian JARAMILLO YARA","13","5.668","57.096","Yamaha","Tolima","CLUB PISTON RACING","10"
"3","205","Miguel Angel RIVERA MARIN","11","27.620","57.648","Yamaha","Santander","CLUB FLORIDA EXTREMO","10"
"4","682","Juan Esteban Carreño Pinzón","10","53.320","1:01.540","Yamaha","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","10"
"5","737","Juan Jose AMAYA VAHOS","9","57.912","1:01.704","Yamaha","Huila","CLUB MOTO JAPONESA","10"
"NT","255","Juan Sebastian WONG RODRÍGUEZ","0","NT","58.330","Yamaha","Quindío","CLUB MONSTER GARAGE","3"
"NT","712","Camilo Alexander TIQUE CORTES","0","NT","59.397","Yamaha","Quindío","CLUB DISCOVER QUINDIO","2"
"NT","214","Gabriel Alejandro VALDIVIESO FLOREZ","0","NT","1:00.512","Yamaha","Bogotá D.C.","Racing pilots Academy","1"
"NE","168","Jeiccob David CARDOZO VERA","0","NE","","Yamaha","Tolima","CLUB PISTON RACING",""
"NE","784","Isabella Diaz botero","0","NE","","Yamaha","Quindío","CLUB MONSTER GARAGE",""
