"Pos.","N°","Nombre","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior"
"1","255","Juan Sebastian WONG RODRÍGUEZ","55.631","5","",""
"2","745-E","Jeronimo HENAO MARIN","55.656","3","0.025","0.025"
"3","312","Eder Sebastian JARAMILLO YARA","56.531","2","0.900","0.875"
"4","205","Miguel Angel RIVERA MARIN","57.531","6","1.900","1.000"
"5","214","Gabriel Alejandro VALDIVIESO FLOREZ","57.864","2","2.233","0.333"
"6","712","Camilo Alexander TIQUE CORTES","59.146","5","3.515","1.282"
"7","682","Juan Esteban Carreño Pinzón","1:01.990","4","6.359","2.844"
"8","737","Juan Jose AMAYA VAHOS","1:03.124","4","7.493","1.134"
"9","168","Jeiccob David CARDOZO VERA","","0","",""
"10","784","Isabella Diaz botero","","0","",""
