"Pos.","N°","Nombre","Puntos","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas"
"1","98","Mateo CASTELLANOS CARVAJAL","15","","52.040","Yamaha","Caldas","CLUB JHC RACING","10"
"2","41","Nicolas DUQUE PATIÑO","13","2.020","52.621","Yamaha","Meta","VILLAVICENCIO RACING CLUB","10"
"3","227","Rigo German SALAZAR CERON","11","3.027","52.680","Yamaha","Quindío","CLUB MONSTER GARAGE","10"
"4","88","Gerardo camilo TORRES","10","8.243","52.957","Yamaha","Valle del Cauca","Dos Ruedas Racing Team","10"
"5","166","Johan Camilo GIRALDO RAMIREZ","9","13.177","53.278","Yamaha","Quindío","CLUB MONSTER GARAGE","10"
"6","931","Cesar Augusto VALDIVIESO VARGAS","8","25.370","54.180","Yamaha","Cundinamarca","CLUB GIRARDOT RACING","10"
"7","207","David Alejandro FORERO ZAPATA","7","26.140","52.626","Yamaha","Putumayo","TEAM RACING MOCOA","10"
"NT","745-E","Jeronimo HENAO MARIN","0","NT","53.339","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","2"
"NT","813","Juan Felipe SIERRA OSORIO","0","NT","1:00.060","Husqvarna","Cundinamarca","CLUB GIRARDOT RACING","1"
"NT","324-E","Jeisson David Lamilla","0","NT","1:03.375","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","1"
"NE","155","Juan Felipe HERNANDEZ ALZATE","0","NE","","Yamaha","Meta","CLUB LLANEROS RANCING",""
"NE","710","Alexander DIAZ CASTAÑO","0","NE","","Yamaha","Cundinamarca","CLUB GIRARDOT RACING",""
