"Pos.","N°","Nombre","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior"
"1","98","Mateo CASTELLANOS CARVAJAL","52.170","4","",""
"2","227","Rigo German SALAZAR CERON","52.777","3","0.607","0.607"
"3","41","Nicolas DUQUE PATIÑO","52.792","4","0.622","0.015"
"4","88","Gerardo camilo TORRES","52.875","5","0.705","0.083"
"5","207","David Alejandro FORERO ZAPATA","53.117","5","0.947","0.242"
"6","745-E","Jeronimo HENAO MARIN","53.502","5","1.332","0.385"
"7","324-E","Jeisson David Lamilla","53.990","4","1.820","0.488"
"8","166","Johan Camilo GIRALDO RAMIREZ","54.209","4","2.039","0.219"
"9","155","Juan Felipe HERNANDEZ ALZATE","55.051","6","2.881","0.842"
"10","931","Cesar Augusto VALDIVIESO VARGAS","55.055","3","2.885","0.004"
"11","710","Alexander DIAZ CASTAÑO","56.204","4","4.034","1.149"
"12","813","Juan Felipe SIERRA OSORIO","1:08.973","1","16.803","12.769"
