"Pos.","N°","Nombre","Puntos","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas"
"1","453","Alexander MARIN YEPES","15","","55.502","Yamaha","Quindío","CLUB RUTEROS DEL QUINDIO","10"
"2","428","DANIEL QUINTANA CASTRO","13","0.247","54.989","Yamaha","Quindío","CLUB RUTEROS DEL QUINDIO","10"
"3","703-E","Jean Carlos aranda González","11","0.342","55.202","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","10"
"4","755","Didier Esneider ALBORNOZ IBARGUEN","10","0.689","55.205","Yamaha","Quindío","CLUB MONSTER GARAGE","10"
"5","680","Juan Esteban RIVERA MARIN","9","13.868","55.912","Yamaha","Santander","CLUB FLORIDA EXTREMO","10"
"6","316","Juan David CAMACHO SAAAVEDRA","8","17.682","56.700","Yamaha","Tolima","CLUB BUNDE ESPINAL","10"
"7","894","Educardo RIOJAS MORENO","7","18.146","56.684","Yamaha","Tolima","CLUB PISTON RACING","10"
"8","375","Wilderman RAMIREZ","6","28.952","57.117","Yamaha","Antioquia","CLUB GRILLOS RACING","10"
"NE","430","JOLMAN JHAN CARLOS RUIZ ENRIQUEZ","0","NE","","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK",""
"NE","631","Johan GOMEZ PEREZ","0","NE","","Yamaha","Quindío","CLUB RUTEROS DEL QUINDIO",""
