"Pos.","N°","Nombre","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior"
"1","428","DANIEL QUINTANA CASTRO","56.023","4","",""
"2","680","Juan Esteban RIVERA MARIN","56.189","3","0.166","0.166"
"3","755","Didier Esneider ALBORNOZ IBARGUEN","56.850","4","0.827","0.661"
"4","453","Alexander MARIN YEPES","56.997","3","0.974","0.147"
"5","316","Juan David CAMACHO SAAAVEDRA","57.098","2","1.075","0.101"
"6","703-E","Jean Carlos aranda González","57.475","3","1.452","0.377"
"7","375","Wilderman RAMIREZ","58.886","3","2.863","1.411"
"8","430","JOLMAN JHAN CARLOS RUIZ ENRIQUEZ","1:01.688","3","5.665","2.802"
"9","631","Johan GOMEZ PEREZ","","0","",""
"10","894","Educardo RIOJAS MORENO","","0","",""
