"Pos.","N°","Nombre","Puntos","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas"
"1","98","Mateo CASTELLANOS CARVAJAL","15","","51.869","Yamaha","Caldas","CLUB JHC RACING","10"
"2","41","Nicolas DUQUE PATIÑO","13","8.531","52.601","Yamaha","Meta","VILLAVICENCIO RACING CLUB","10"
"3","227","Rigo German SALAZAR CERON","11","9.131","52.707","Yamaha","Quindío","CLUB MONSTER GARAGE","10"
"4","745-E","Jeronimo HENAO MARIN","10","9.607","52.530","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","10"
"5","813","Juan Felipe SIERRA OSORIO","9","13.824","52.956","Husqvarna","Cundinamarca","CLUB GIRARDOT RACING","10"
"6","214","Gabriel Alejandro VALDIVIESO FLOREZ","8","39.029","55.559","Yamaha","Bogotá D.C.","Racing pilots Academy","10"
"7","88","Gerardo camilo TORRES","7","39.174","53.281","Yamaha","Valle del Cauca","Dos Ruedas Racing Team","10"
"8","207","David Alejandro FORERO ZAPATA","6","39.763","53.577","Yamaha","Putumayo","TEAM RACING MOCOA","10"
"NT","324-E","Jeisson David Lamilla","0","NT","53.847","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","4"
"NT","931","Cesar Augusto VALDIVIESO VARGAS","0","NT","59.278","Yamaha","Cundinamarca","CLUB GIRARDOT RACING","1"
"NE","155","Juan Felipe HERNANDEZ ALZATE","0","NE","","Yamaha","Meta","CLUB LLANEROS RANCING",""
