"Pos.","N°","Nombre","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior"
"1","98","Mateo CASTELLANOS CARVAJAL","50.549","5","",""
"2","207","David Alejandro FORERO ZAPATA","52.198","3","1.649","1.649"
"3","41","Nicolas DUQUE PATIÑO","52.363","3","1.814","0.165"
"4","227","Rigo German SALAZAR CERON","52.520","7","1.971","0.157"
"5","745-E","Jeronimo HENAO MARIN","52.946","3","2.397","0.426"
"6","88","Gerardo camilo TORRES","53.237","3","2.688","0.291"
"7","155","Juan Felipe HERNANDEZ ALZATE","53.255","3","2.706","0.018"
"8","324-E","Jeisson David Lamilla","53.595","7","3.046","0.340"
"9","813","Juan Felipe SIERRA OSORIO","53.940","6","3.391","0.345"
"10","931","Cesar Augusto VALDIVIESO VARGAS","54.055","3","3.506","0.115"
"11","214","Gabriel Alejandro VALDIVIESO FLOREZ","54.286","7","3.737","0.231"
