"Pos.","N°","Nombre","Puntos","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas"
"1","227","Rigo German SALAZAR CERON","15","","50.629","Yamaha","Quindío","CLUB MONSTER GARAGE","12"
"2","98","Mateo CASTELLANOS CARVAJAL","13","4.070","50.226","KTM","Caldas","CLUB JHC RACING","12"
"3","207","David Alejandro FORERO ZAPATA","11","4.969","51.470","Husqvarna","Putumayo","TEAM RACING MOCOA","12"
"4","41","Nicolas DUQUE PATIÑO","10","14.328","50.901","Husqvarna","Meta","VILLAVICENCIO RACING CLUB","12"
"5","931","Cesar Augusto VALDIVIESO VARGAS","9","42.080","51.245","Yamaha","Cundinamarca","CLUB GIRARDOT RACING","12"
"6","568-E","Juan Sebastián Arango Giraldo","8","42.220","53.656","Yamaha","Antioquia","Club Deportivo Terras de San Marinno","12"
"7","375","Wilderman RAMIREZ","7","52.235","54.896","Husqvarna","Antioquia","CLUB GRILLOS RACING","12"
"NT","330","Mauricio VIEIRA SOTO","0","NT","54.904","Husqvarna","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","11"
"NT","813","Juan Felipe SIERRA OSORIO","0","NT","51.672","Husqvarna","Cundinamarca","CLUB GIRARDOT RACING","6"
"NE","155","Juan Felipe HERNANDEZ ALZATE","0","NE","","Yamaha","Meta","CLUB LLANEROS RANCING",""
