"Pos.","N°","Nombre","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior"
"1","98","Mateo CASTELLANOS CARVAJAL","49.570","4","",""
"2","41","Nicolas DUQUE PATIÑO","50.967","6","1.397","1.397"
"3","155","Juan Felipe HERNANDEZ ALZATE","51.206","5","1.636","0.239"
"4","931","Cesar Augusto VALDIVIESO VARGAS","51.344","4","1.774","0.138"
"5","227","Rigo German SALAZAR CERON","51.471","4","1.901","0.127"
"6","207","David Alejandro FORERO ZAPATA","51.947","4","2.377","0.476"
"7","813","Juan Felipe SIERRA OSORIO","52.354","8","2.784","0.407"
"8","568-E","Juan Sebastián Arango Giraldo","55.285","6","5.715","2.931"
"9","330","Mauricio VIEIRA SOTO","55.432","4","5.862","0.147"
"10","375","Wilderman RAMIREZ","56.053","3","6.483","0.621"
