"Pos.","N°","Nombre","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","R1 ","R2 "
"1","227","Rigo German SALAZAR CERON","30","0","Yamaha","Quindío","CLUB MONSTER GARAGE","15","15"
"2","98","Mateo CASTELLANOS CARVAJAL","24","6","KTM","Caldas","CLUB JHC RACING","11","13"
"3","41","Nicolas DUQUE PATIÑO","23","7","Husqvarna","Meta","VILLAVICENCIO RACING CLUB","13","10"
"4","207","David Alejandro FORERO ZAPATA","21","9","Husqvarna","Putumayo","TEAM RACING MOCOA","10","11"
"5","931","Cesar Augusto VALDIVIESO VARGAS","17","13","Yamaha","Cundinamarca","CLUB GIRARDOT RACING","8","9"
"6","568-E","Juan Sebastián Arango Giraldo","15","15","Yamaha","Antioquia","Club Deportivo Terras de San Marinno","7","8"
"7","375","Wilderman RAMIREZ","13","17","Husqvarna","Antioquia","CLUB GRILLOS RACING","6","7"
"8","813","Juan Felipe SIERRA OSORIO","9","21","Husqvarna","Cundinamarca","CLUB GIRARDOT RACING","9","0"
"9","330","Mauricio VIEIRA SOTO","5","25","Husqvarna","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","5","0"
"NE","155","Juan Felipe HERNANDEZ ALZATE","0","30","Yamaha","Meta","CLUB LLANEROS RANCING","0","0"
